production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
103000000.0,457683805.0,2000.0,2.35,171.0,6521.0,103000000.0,8.5
102500000.0,212282709.0,2009.0,2.35,140.0,64599.0,100000000.0,7.0
102000000.0,358824714.0,2002.0,2.35,145.0,12546.0,102000000.0,7.7
102000000.0,130673154.0,2012.0,2.35,172.0,22686.0,102000000.0,7.5
100000000.0,878979634.0,2002.0,2.35,174.0,35672.0,100000000.0,7.4
100000000.0,331323410.0,2004.0,2.35,131.0,13679.0,100000000.0,6.9
100000000.0,449948323.0,2012.0,2.35,165.0,40978.0,100000000.0,8.5
100000000.0,310650574.0,2010.0,1.85,98.0,24082.0,100000000.0,5.5
100000000.0,267985456.0,2007.0,1.85,176.0,20354.0,100000000.0,7.8
100000000.0,236827677.0,2009.0,2.35,90.0,1227.0,100000000.0,7.0
100000000.0,170936470.0,2010.0,2.35,116.0,20233.0,100000000.0,6.7
100000000.0,391976723.0,2013.0,2.35,240.0,46057.0,100000000.0,8.2
100000000.0,262794441.0,2013.0,2.35,102.0,14552.0,100000000.0,6.7
100000000.0,234400000.0,1996.0,2.35,115.0,3454.0,100000000.0,6.1
100000000.0,169296573.0,2000.0,1.66,78.0,2039.0,100000000.0,7.3
100000000.0,311979256.0,2012.0,2.35,103.0,57881.0,92000000.0,6.7
100000000.0,99123656.0,2009.0,2.35,101.0,1738.0,100000000.0,6.8
100000000.0,249488115.0,2006.0,2.35,104.0,4487.0,100000000.0,5.1
100000000.0,212026975.0,1999.0,2.35,121.0,3903.0,83000000.0,5.7
100000000.0,96221971.0,2004.0,1.85,93.0,13748.0,90000000.0,5.2
100000000.0,145395745.0,2007.0,1.85,85.0,25590.0,100000000.0,6.8
100000000.0,139716717.0,2010.0,2.35,101.0,4286.0,80000000.0,7.0
100000000.0,121100000.0,1997.0,1.85,129.0,2031.0,105000000.0,7.2
100000000.0,69548641.0,2009.0,1.85,102.0,10552.0,100000000.0,5.4
100000000.0,82145379.0,2004.0,2.35,87.0,3144.0,100000000.0,3.3
100000000.0,209461378.0,2014.0,2.35,131.0,52610.0,90000000.0,6.1
100000000.0,91800000.0,2002.0,1.5,95.0,26940.0,140000000.0,7.1
100000000.0,97523020.0,2010.0,2.35,115.0,13761.0,100000000.0,6.9
100000000.0,103039258.0,2014.0,2.35,119.0,54031.0,100000000.0,6.3
100000000.0,59918422.0,2005.0,1.85,94.0,1195.0,84000000.0,2.2
100000000.0,13835130.0,1997.0,1.85,110.0,1722.0,10000000.0,7.3
100000000.0,7094995.0,2002.0,1.85,95.0,6161.0,100000000.0,3.8
99000000.0,244778411.0,2015.0,1.85,88.0,309.0,99000000.0,7.2
98000000.0,435040395.0,2001.0,2.35,130.0,15972.0,98000000.0,6.3
97000000.0,183124621.0,2002.0,2.35,216.0,47657.0,100000000.0,7.5
95000000.0,879765137.0,2012.0,2.35,88.0,25354.0,95000000.0,6.6
95000000.0,159691085.0,2001.0,2.35,152.0,4270.0,92000000.0,7.7
95000000.0,223050874.0,2010.0,2.35,118.0,14024.0,95000000.0,5.9
95000000.0,169511609.0,2010.0,2.35,98.0,25780.0,100000000.0,6.8
95000000.0,263900000.0,1997.0,2.35,126.0,39319.0,93000000.0,7.7
95000000.0,65700000.0,2000.0,1.85,89.0,3372.0,95000000.0,6.9
95000000.0,94894448.0,2009.0,2.35,135.0,2370.0,65000000.0,6.7
95000000.0,94894448.0,2009.0,2.35,135.0,2369.0,65000000.0,6.7
95000000.0,110623265.0,2014.0,2.35,102.0,17098.0,95000000.0,5.5
94000000.0,936429370.0,2003.0,1.85,100.0,5641.0,94000000.0,8.2
94000000.0,1141408667.0,2003.0,2.35,192.0,6434.0,94000000.0,8.9
94000000.0,934703179.0,2002.0,2.35,172.0,23052.0,94000000.0,8.7
94000000.0,273330185.0,2001.0,2.35,100.0,12150.0,115000000.0,5.7
93000000.0,365900000.0,2001.0,1.85,92.0,2574.0,93000000.0,5.9
93000000.0,482860185.0,2011.0,2.35,105.0,13118.0,93000000.0,7.6
92500000.0,162839667.0,2008.0,2.35,107.0,1614.0,90000000.0,6.6
92000000.0,614726752.0,2004.0,2.35,115.0,1901.0,92000000.0,8.0
92000000.0,304249198.0,2013.0,1.85,101.0,15481.0,92000000.0,5.3
91000000.0,188536838.0,2013.0,2.35,114.0,5095.0,90000000.0,7.3
90000000.0,587790539.0,1997.0,1.85,98.0,12998.0,90000000.0,7.3
90000000.0,511358276.0,1999.0,1.85,82.0,21275.0,90000000.0,7.9
90000000.0,347425832.0,2001.0,2.35,90.0,664.0,90000000.0,6.6
90000000.0,498438212.0,2009.0,1.85,128.0,23996.0,90000000.0,7.6
90000000.0,859701857.0,2009.0,1.85,94.0,1258.0,90000000.0,7.0
90000000.0,288693989.0,2000.0,2.35,130.0,12890.0,100000000.0,6.6
90000000.0,487519809.0,2011.0,2.35,96.0,12071.0,90000000.0,7.0
90000000.0,289660619.0,2006.0,2.35,151.0,45648.0,90000000.0,8.5
90000000.0,259736090.0,2000.0,2.35,94.0,15419.0,92000000.0,5.5
90000000.0,303500000.0,1998.0,1.66,88.0,4478.0,90000000.0,7.5
90000000.0,191091250.0,2008.0,2.35,121.0,23484.0,92000000.0,7.0
90000000.0,239373970.0,2011.0,2.35,158.0,20388.0,90000000.0,7.8
90000000.0,165900000.0,1997.0,2.35,150.0,12289.0,90000000.0,7.4
90000000.0,202910991.0,2008.0,1.85,113.0,13446.0,90000000.0,5.5
90000000.0,235296080.0,2015.0,1.85,92.0,38450.0,90000000.0,5.0
90000000.0,186049020.0,2001.0,2.35,95.0,15237.0,120000000.0,6.8
90000000.0,203902107.0,2008.0,1.85,121.0,14165.0,75000000.0,7.1
90000000.0,244126300.0,2015.0,2.35,106.0,35367.0,88000000.0,5.6
90000000.0,235900000.0,2001.0,1.85,146.0,6217.0,100000000.0,7.1
90000000.0,155750628.0,2003.0,2.35,88.0,2622.0,90000000.0,4.9
90000000.0,191200000.0,2000.0,1.85,119.0,2356.0,95000000.0,5.7
90000000.0,162753837.0,2005.0,2.35,128.0,2100.0,80000000.0,6.4
90000000.0,200859554.0,2013.0,2.35,106.0,10882.0,90000000.0,5.9
90000000.0,157092943.0,2003.0,2.35,117.0,33154.0,95000000.0,5.5
90000000.0,313404841.0,2016.0,2.35,129.0,23031.0,90000000.0,6.9
90000000.0,143049560.0,2001.0,2.35,114.0,12499.0,92000000.0,7.0
90000000.0,169400000.0,1997.0,2.35,116.0,475.0,68000000.0,6.2
90000000.0,106000000.0,2000.0,2.35,114.0,4902.0,90000000.0,5.6
90000000.0,87420776.0,1999.0,1.85,132.0,55254.0,100000000.0,6.8
90000000.0,120100000.0,1997.0,1.85,104.0,5062.0,90000000.0,5.4
90000000.0,140900000.0,1997.0,2.35,111.0,26088.0,86000000.0,6.1
90000000.0,65716126.0,2002.0,2.35,138.0,15149.0,100000000.0,6.7
90000000.0,139877913.0,2011.0,2.35,110.0,27694.0,75000000.0,5.8
90000000.0,20466016.0,2010.0,2.35,110.0,2728.0,90000000.0,4.4
88000000.0,105021488.0,2005.0,2.35,144.0,2523.0,88000000.0,8.0
86000000.0,148715342.0,2003.0,2.35,140.0,13808.0,87000000.0,7.3
85000000.0,427230516.0,2000.0,1.85,143.0,15838.0,90000000.0,7.7
85000000.0,450728529.0,2001.0,2.35,116.0,13028.0,85000000.0,7.8
85000000.0,288587450.0,2004.0,2.35,108.0,14161.0,75000000.0,7.8
85000000.0,315268353.0,1997.0,2.35,124.0,23603.0,85000000.0,6.4
85000000.0,276014965.0,2014.0,2.35,139.0,22226.0,85000000.0,6.7
85000000.0,378505812.0,2012.0,1.85,91.0,37142.0,85000000.0,7.1
85000000.0,340384141.0,2007.0,2.35,107.0,662.0,85000000.0,7.1
85000000.0,208542162.0,2012.0,2.35,115.0,36237.0,85000000.0,6.8
85000000.0,311744465.0,2007.0,2.35,122.0,43499.0,85000000.0,6.9
85000000.0,224614744.0,2009.0,1.85,120.0,15226.0,85000000.0,6.6
85000000.0,250649836.0,1998.0,2.35,140.0,11951.0,90000000.0,7.3
85000000.0,191932158.0,2006.0,1.85,83.0,6081.0,85000000.0,6.2
85000000.0,153487972.0,2011.0,2.35,104.0,3768.0,75000000.0,6.2
85000000.0,66941559.0,2000.0,1.85,100.0,4182.0,85000000.0,4.8
85000000.0,173613482.0,2012.0,1.85,106.0,11454.0,85000000.0,5.6
85000000.0,157794205.0,2006.0,2.35,104.0,1235.0,85000000.0,6.0
85000000.0,96971293.0,2001.0,2.35,131.0,5103.0,68000000.0,7.6
